instruction,response
Find customers whose last name contains shared,"[[{""value"":""shared"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find people who booked appointment in the last 2 days,"[[{""metadata"":[{""key"":""start_at"",""value"":2880,""operator"":""greater_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
List customers with booked appointment in the last 2 days,"[[{""metadata"":[{""key"":""start_at"",""value"":2880,""operator"":""greater_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
List customers with booked appointment in the last 2 days,"[[{""metadata"":[{""key"":""start_at"",""value"":2880,""operator"":""greater_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
Show me clients who have booked appointment in the last 2 days,"[[{""metadata"":[{""key"":""start_at"",""value"":2880,""operator"":""greater_than_minutes_ago""}],""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""booked_appointment""}]]"
Get customers whose last name equals automationpretest18july,"[[{""value"":""automationpretest18july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me contacts without first name and Show me all contacts with birth date = 2021-08-03T18:30:00.000Z,"[[{""value"":null,""operator"":""is_blank"",""filter_type"":""contact_property"",""property_name"":""first_name""},{""value"":""2021-08-03T18:30:00.000Z"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""birth_date""}]]"
Find customers with blank first name and Show contacts with birth date as 2021-08-03T18:30:00.000Z,"[[{""value"":null,""operator"":""is_blank"",""filter_type"":""contact_property"",""property_name"":""first_name""},{""value"":""2021-08-03T18:30:00.000Z"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""birth_date""}]]"
List customers with yahoo in email,"[[{""value"":""yahoo"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Show contacts with email as test4@gmail.com,"[[{""value"":""test4@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""july20@test.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers where email is albert@gmail.com,"[[{""value"":""albert@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""test3@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""a.t2@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""a.t1@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Get customers whose city equals New York and Show me clients who have not purchased,"[[{""value"":""New York"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""city""},{""operator"":""has_no_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Find customers whose address line 1 contains 1,"[[{""value"":""1"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""address_line_1""}]]"
Show me clients who have purchased,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""occurred_before"":""2025-01-01T00:00:00Z"",""interaction_type"":""purchased"",""occurred_at_or_after"":""2024-01-01T00:00:00Z""}]]"
Show me all contacts with city = New York and Get contacts without purchased,"[[{""value"":""New York"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""city""},{""operator"":""has_no_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Find all clients where city is exactly New York and List customers who didn't purchased,"[[{""value"":""New York"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""city""},{""operator"":""has_no_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Get customers whose active membership names equals ['yes'],"[[{""value"":[""yes""],""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""active_membership_names""}]]"
Find all clients where email is exactly alex.sanchez@gmail.com,"[[{""value"":""alex.sanchez@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""sandeeptiwari+223@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
